"id","date","price","bedrooms","bathrooms","living","lot","floors","waterfront","condition","above","basement","year","zipcode","living15","lot15","renovated"
510002506,"8/25/2014",459500,2,1.5,1170,1079,3,"no","neutral",1170,0,2003,98103,1170,1116,"no"
518500460,"10/8/2014",2230000,3,3.5,3760,5634,2,"yes","neutral",2830,930,2014,98056,3560,5762,"no"
518500480,"8/11/2014",3e+06,3,3.5,4410,10756,2,"yes","neutral",3430,980,2014,98056,3550,5634,"no"
518500700,"5/7/2014",630000,2,2.25,2550,5663,1,"no","neutral",1720,830,2011,98056,2560,3828,"no"
521049200,"7/8/2014",819000,3,2.75,3176,13391,2,"no","good",2726,450,1985,98198,3470,12779,"no"
526069024,"5/12/2014",950000,5,3,4530,258746,1.5,"no","good",3200,1330,2003,98077,3430,83199,"no"
534000195,"11/13/2014",510000,3,1.75,1370,6700,1,"no","neutral",1370,0,1940,98117,1180,6694,"yes"
585000095,"12/16/2014",625000,3,2.5,2180,5000,1,"no","good",1240,940,1977,98116,2000,5000,"no"
594000115,"5/12/2014",615000,2,1.75,2040,28593,1.5,"yes","good",2040,0,1919,98070,2040,35124,"no"
622049114,"2/18/2015",2130000,3,2.5,5403,24069,2,"yes","good",5403,0,1976,98166,3980,104374,"no"
623059016,"7/17/2014",1100000,4,3.25,3190,11774,2,"yes","neutral",2610,580,1956,98178,2240,8725,"no"
624069035,"12/9/2014",2750000,4,4,4130,5575,2,"yes","good",2860,1270,1993,98075,2980,5575,"no"
624069108,"8/12/2014",3200000,4,3.25,7000,28206,1,"yes","good",3500,3500,1991,98075,4913,14663,"no"
625059036,"8/13/2014",2700000,5,4,4230,27295,2,"yes","neutral",3230,1000,1949,98033,2660,27295,"no"
626049115,"11/5/2014",405000,4,2.5,2620,8960,1,"no","great",1520,1100,1955,98133,1880,8960,"no"
629800520,"9/3/2014",1210000,4,3.25,4330,26162,2,"no","neutral",4330,0,1997,98074,5110,26319,"no"
685000115,"10/7/2014",2150000,8,6,4340,9415,2,"no","neutral",4340,0,1967,98004,2050,9100,"no"
686400060,"8/20/2014",521000,4,2.25,1890,8034,1,"no","good",1890,0,1967,98008,1920,7210,"no"
723069089,"7/15/2014",575000,4,2.5,2550,56628,2,"no","neutral",2550,0,2001,98027,1870,56628,"no"
724069023,"4/14/2015",1250000,1,1.25,1810,5070,1.5,"yes","good",1230,580,1967,98075,2280,5070,"no"
724069059,"5/9/2014",2400000,3,2.25,3000,11665,1.5,"yes","neutral",3000,0,2001,98075,3000,15959,"no"
726049190,"2/18/2015",431000,3,1,1810,7200,1,"no","good",1130,680,1954,98133,1810,8100,"no"
727500030,"7/15/2014",815000,3,1.5,1370,8671,1,"no","neutral",1370,0,1955,98004,1580,8671,"no"
740500040,"10/1/2014",265000,4,1,1860,8505,1,"no","good",1860,0,1955,98055,1560,8505,"no"
766000240,"9/15/2014",225000,4,2,2220,14120,1,"no","neutral",1200,1020,1966,98042,1300,9709,"no"
777100005,"11/22/2014",1650000,3,2.25,2750,6203,1,"yes","great",1620,1130,1959,98074,2570,7009,"no"
809002290,"5/19/2014",1190000,4,3,2240,6000,1.5,"no","good",1270,970,1914,98109,2240,4250,"no"
809002765,"10/22/2014",610000,3,1,1180,3400,1.5,"no","neutral",1180,0,1907,98109,1440,3400,"no"
822039084,"3/11/2015",1350000,3,2.5,2753,65005,1,"yes","great",2165,588,1953,98070,2680,72513,"no"
824059211,"11/17/2014",8e+05,4,1.75,2150,9148,1,"no","good",2150,0,1955,98004,2370,9148,"no"
825059178,"9/23/2014",2570000,4,3.75,4475,20424,2,"yes","neutral",2659,1816,1999,98033,4340,5250,"no"
825079024,"5/6/2015",785000,3,2.75,2990,207781,2,"no","neutral",2990,0,2000,98014,2590,218671,"no"
889000025,"8/11/2014",599000,3,1.75,1650,1180,3,"no","neutral",1650,0,2014,98105,1720,1960,"no"
908000010,"12/12/2014",360000,5,2.5,2880,6902,1,"no","neutral",1680,1200,1976,98058,2080,5586,"yes"
922059161,"9/22/2014",365000,3,2,2140,26600,1,"no","good",2140,0,1983,98031,2310,8783,"no"
952003480,"11/17/2014",445000,4,1,1460,4600,1,"no","neutral",780,680,1946,98126,1560,4600,"no"
993001629,"11/17/2014",265000,3,2.75,1120,881,3,"no","neutral",1120,0,1999,98103,1120,1087,"no"
1025039086,"9/16/2014",1880000,3,2.5,3280,29111,2,"yes","neutral",3280,0,1925,98199,3530,21074,"no"
1081330180,"12/22/2014",627000,4,2.5,2750,11830,2,"no","neutral",2750,0,2014,98059,2310,11830,"no"
1085623710,"7/14/2014",447055,4,2.5,2448,4949,2,"no","neutral",2448,0,2014,98030,2815,5446,"no"
1088810040,"3/20/2015",627250,4,2.5,2830,10677,2,"no","neutral",2830,0,1993,98011,2970,9619,"no"
1105000015,"6/9/2014",417000,2,1,920,6600,1,"no","neutral",920,0,1919,98118,1510,5944,"yes"
1105000588,"4/21/2015",349500,3,1,1400,3538,1,"no","neutral",800,600,1953,98118,1620,6331,"no"
1118001370,"1/2/2015",1570000,3,2.75,2340,8828,1,"no","good",2340,0,1954,98112,3480,8526,"no"
1121039059,"5/22/2014",503000,2,1.75,2860,59612,1,"yes","neutral",1510,1350,1948,98023,2720,59612,"yes"
1176001124,"2/24/2015",598950,3,2.5,1480,1531,3,"no","neutral",1480,0,2014,98107,1530,1321,"no"
1223039173,"4/29/2015",450000,4,1.75,2190,11625,1,"no","good",2020,170,1956,98146,1920,8855,"no"
1224059053,"10/27/2014",1700000,5,2,2500,15250,2,"yes","great",2500,0,1942,98008,1880,18782,"no"
1231000510,"9/22/2014",263000,3,1.75,1490,3800,1,"no","neutral",700,790,1913,98118,2180,4000,"no"
1231000895,"11/5/2014",986000,4,3.5,2840,5900,2,"no","neutral",1920,920,1910,98118,1300,4900,"yes"
1245002391,"10/22/2014",1400000,5,4.25,4230,6907,2,"no","neutral",3450,780,2008,98033,2650,8076,"no"
1247600105,"10/20/2014",5110000,5,5.25,8010,45517,2,"yes","neutral",5990,2020,1999,98033,3430,26788,"no"
1250203070,"5/14/2014",1400000,3,2.5,2550,7200,2,"no","neutral",2550,0,1981,98144,2030,3500,"yes"
1257201010,"5/4/2015",698000,2,1,1510,4080,1,"no","neutral",1010,500,1923,98103,1660,4080,"no"
1269200229,"7/23/2014",1380000,3,3.25,3786,38038,1,"yes","neutral",1934,1852,1978,98070,2850,33361,"yes"
1313500070,"8/20/2014",249000,3,1.5,1580,7200,1,"no","good",1080,500,1976,98092,1580,7470,"no"
1324049015,"11/11/2014",2490000,4,2.5,3440,23954,1.5,"yes","great",2260,1180,1931,98040,4230,18723,"no"
1325059083,"5/27/2014",830000,4,2.5,1850,50662,1,"no","neutral",1430,420,1978,98052,2090,10599,"no"
1326069191,"2/2/2015",334000,3,2.25,1840,9781,2,"no","neutral",1840,0,1989,98019,1490,10101,"no"
1337800220,"9/8/2014",1e+06,4,2.5,2230,3600,2,"no","great",1630,600,1906,98112,2410,4800,"no"
1338300180,"7/29/2014",1400000,4,2.25,3960,8640,2,"no","neutral",2630,1330,1925,98112,3850,8640,"no"
1352300520,"1/13/2015",294000,3,3,1670,4120,1.5,"no","neutral",1140,530,1929,98055,1010,4120,"yes"
1402600110,"2/26/2015",392000,4,2.25,2360,7733,2,"no","neutral",2360,0,1983,98058,2160,7733,"no"
1402950550,"1/7/2015",332000,4,2.5,2470,7780,2,"no","neutral",2470,0,2002,98092,2100,5972,"no"
1423200110,"5/13/2015",180000,2,1,800,9450,1,"no","neutral",800,0,1958,98058,1090,9450,"no"
1423910670,"5/27/2014",305000,4,1,2100,9288,1,"no","good",1050,1050,1968,98058,1600,8550,"no"
1432701380,"4/7/2015",263000,3,1,1250,7560,1,"no","neutral",1250,0,1959,98058,1270,7615,"no"
1438000010,"9/12/2014",569995,4,2.5,2650,6875,2,"no","neutral",2650,0,2014,98059,2650,5831,"no"
1446400785,"4/22/2015",228950,3,1,1120,6625,1,"no","neutral",1120,0,1942,98168,1120,6794,"no"
1453602284,"11/3/2014",296000,2,2,1320,2040,3,"no","neutral",1320,0,1997,98125,1430,2040,"no"
1455100355,"7/8/2014",1680000,3,2.5,3490,8343,2,"yes","good",2150,1340,1939,98125,2990,13104,"no"
1455600062,"10/21/2014",689000,3,2.5,2080,9612,1,"no","good",1700,380,1940,98125,2560,10202,"no"
1525059190,"9/12/2014",1040000,5,3.25,4770,50094,1,"no","good",3070,1700,1973,98005,3530,38917,"no"
1551500130,"5/22/2014",180000,4,1.5,1740,7292,1,"no","neutral",1020,720,1962,98168,1740,7573,"no"
1568100920,"4/8/2015",1950000,4,2.5,3440,14554,2,"yes","neutral",2170,1270,2012,98155,3170,11810,"no"
1574700140,"8/8/2014",550000,3,1.75,1830,9720,1,"no","neutral",1150,680,1928,98040,3380,10854,"no"
1624079088,"8/11/2014",415000,3,2.75,3900,111514,2,"no","neutral",3460,440,1967,98024,2460,217800,"yes"
1646501845,"9/13/2014",570000,3,2,1270,3090,2,"no","great",1270,0,1911,98117,1440,3090,"no"
1678400105,"2/12/2015",339000,4,1.5,2390,7480,1.5,"no","neutral",2390,0,1920,98178,2850,6867,"no"
1721800190,"4/9/2015",3e+05,2,1.5,1300,6120,1,"no","neutral",820,480,1945,98146,1250,6120,"no"
1724069059,"5/24/2014",2e+06,5,4,4580,4443,3,"yes","neutral",4580,0,2004,98075,2710,4443,"no"
1724069060,"5/7/2015",1080000,2,3.25,1550,1767,3,"yes","neutral",1550,0,2006,98075,2710,3444,"no"
1724069062,"7/14/2014",1370000,2,3.25,2700,3444,3,"yes","neutral",2700,0,1990,98075,2710,3444,"no"
1724069079,"3/19/2015",1450000,2,3.25,2070,3128,2,"yes","neutral",1760,310,1988,98075,2740,3568,"no"
1725079061,"7/10/2014",5e+05,3,1.75,1640,47044,1,"no","neutral",1640,0,1989,98014,2280,200811,"no"
1727500280,"8/20/2014",480000,4,2.25,1770,7000,1,"no","great",1770,0,1972,98034,1780,6500,"no"
1762600090,"4/24/2015",1210000,4,2.5,3430,35120,2,"no","neutral",3430,0,1984,98033,3920,35230,"no"
1822039138,"2/27/2015",6e+05,2,2.25,2320,18919,2,"yes","good",2320,0,1976,98070,1610,18919,"no"
1826049426,"1/5/2015",445000,4,2.75,2320,12368,1,"no","neutral",1670,650,1968,98133,2070,9575,"no"
1827200265,"9/11/2014",1900000,2,2.75,3690,32044,2,"yes","neutral",3690,0,1989,98166,2310,26988,"no"
1843100580,"9/3/2014",360000,4,2.5,2340,13445,2,"no","neutral",2340,0,1990,98042,2340,11188,"no"
1921059310,"3/20/2015",193000,2,1.75,1280,6774,1,"no","neutral",1280,0,1991,98002,1450,7810,"no"
1922039062,"4/20/2015",480000,2,1.5,1008,26487,1,"yes","good",1008,0,1943,98070,1132,24079,"yes"
1922059027,"1/23/2015",282510,4,1,1450,32234,1.5,"no","good",1450,0,1932,98030,1530,10125,"no"
1924059029,"6/17/2014",4670000,5,6.75,9640,13068,1,"yes","neutral",4820,4820,1983,98040,3270,10454,"yes"
1925069066,"6/23/2014",1700000,3,2.75,2810,18731,2,"yes","good",2810,0,1974,98052,3120,14810,"no"
1925069082,"5/11/2015",2200000,5,4.25,4640,22703,2,"yes","great",2860,1780,1952,98052,3140,14200,"no"
1925069121,"3/30/2015",960000,3,2.5,1730,4102,3,"yes","neutral",1730,0,1996,98074,2340,16994,"no"
1926069137,"7/7/2014",775000,4,3.25,4100,241322,2,"no","neutral",2500,1600,1981,98072,3770,87821,"no"
1928300350,"12/22/2014",570000,3,1.75,1370,3300,2,"no","great",1370,0,1927,98105,1560,3927,"no"
1931300665,"10/9/2014",850000,3,3,1910,4800,1.5,"no","neutral",1910,0,1900,98103,1280,1310,"no"
1951820070,"8/22/2014",491500,3,2.25,2230,13100,1,"no","good",1510,720,1974,98006,2010,10650,"no"
1954430190,"8/8/2014",528000,4,2.75,2050,7171,1,"no","neutral",1540,510,1988,98074,1960,7110,"no"
1954700615,"10/22/2014",825000,4,1.5,2040,6900,2,"no","neutral",2040,0,1903,98112,3150,8220,"no"
1959701890,"7/29/2014",865000,4,1.75,1800,4180,2,"no","good",1800,0,1921,98102,2180,4620,"no"
1972200259,"5/7/2014",425000,2,2.5,1150,1027,3,"no","neutral",1150,0,2008,98103,1360,1210,"no"
2011000010,"5/2/2014",257950,3,1.75,1370,5858,1,"no","neutral",1370,0,1987,98198,1400,7500,"no"
2013802030,"9/11/2014",357000,3,2,2460,53882,1,"yes","neutral",2460,0,1955,98198,2660,32625,"no"
2013802060,"9/27/2014",5e+05,2,1,1760,27332,1,"yes","good",1300,460,1951,98198,2590,16630,"no"
2024069008,"6/19/2014",2200000,5,4.75,5990,10450,2,"yes","neutral",4050,1940,2002,98027,3330,14810,"no"
2025059150,"7/2/2014",1040000,4,1.75,1440,13296,1,"no","good",1440,0,1967,98004,3520,10802,"no"
2025069065,"9/29/2014",2400000,4,2.5,3650,8354,1,"yes","neutral",1830,1820,2000,98074,3120,18841,"no"
2025069140,"3/17/2015",1900000,3,2.5,2830,4334,3,"yes","neutral",2830,0,2006,98074,2830,38211,"no"
2028701000,"5/29/2014",635200,4,1.75,1640,4240,1,"no","great",920,720,1921,98117,1300,4240,"no"
2095500120,"7/18/2014",350000,4,2.5,2380,6124,2,"no","neutral",2380,0,1997,98030,2170,6097,"no"
2113700060,"10/14/2014",4e+05,4,2.5,2350,3904,2.5,"no","neutral",2350,0,1999,98106,1120,4000,"no"
2115720130,"8/21/2014",289950,3,2.5,2070,5013,2,"no","neutral",2070,0,1987,98023,1670,5013,"no"
2122039094,"11/26/2014",705000,3,3,1970,20978,2,"yes","good",1770,200,1980,98070,2280,75396,"no"
2123039032,"10/27/2014",369900,1,0.75,760,10079,1,"yes","great",760,0,1936,98070,1230,14267,"no"
2124089028,"7/14/2014",279000,3,1.75,1430,39160,1,"no","neutral",900,530,1925,98065,1430,40860,"no"
2125059013,"4/20/2015",1670000,5,3.5,4320,40816,2,"no","good",4320,0,1997,98004,4320,44584,"no"
2138700141,"7/2/2014",736000,2,1,1500,4000,1,"no","neutral",1100,400,1933,98109,1980,4000,"no"
2159900120,"8/22/2014",419000,2,2.5,1470,2034,2,"no","good",1470,0,1985,98007,1510,2055,"no"
2291401115,"11/25/2014",349950,1,1,1230,9300,1.5,"no","good",1230,0,1918,98133,1190,6820,"no"
2310050110,"12/15/2014",364950,3,2.25,2520,6170,2,"no","neutral",1850,670,2003,98038,2260,6967,"no"
2322029048,"11/19/2014",999000,3,2.75,2830,505166,1,"yes","good",1830,1000,1962,98070,2120,21988,"no"
2325300037,"9/2/2014",358000,3,3.25,1410,1442,3,"no","neutral",1360,50,2006,98125,1500,1200,"no"
2402100575,"6/13/2014",1130000,6,3.75,3010,4360,2,"no","neutral",2000,1010,2014,98103,1600,5160,"no"
2408800120,"7/16/2014",360000,4,1.75,2140,49658,1,"no","great",2140,0,1959,98010,1720,99316,"no"
2413300240,"11/10/2014",280000,4,2.25,1990,7350,1,"no","good",1180,810,1978,98003,2030,7210,"no"
2423029009,"6/17/2014",465000,2,2,1494,19271,2,"yes","neutral",1494,0,1943,98070,1494,43583,"yes"
2424410110,"6/11/2014",325000,3,1.75,1790,27427,1,"no","neutral",1130,660,1978,98065,1610,16684,"no"
2425049063,"9/11/2014",3640000,4,3.25,4830,22257,2,"yes","good",4830,0,1990,98039,3820,25582,"no"
2450000290,"12/15/2014",1250000,5,2.5,3370,8113,2,"no","neutral",3370,0,2005,98004,2470,8113,"no"
2460700260,"2/18/2015",3e+05,3,2,1480,6698,1,"no","good",1080,400,1979,98058,1850,7348,"no"
2469000010,"3/23/2015",1080000,4,2.25,2100,12172,1,"no","great",2100,0,1961,98040,2400,10713,"no"
2473002080,"3/17/2015",5e+05,3,2.75,3410,9360,1.5,"no","good",3410,0,1967,98058,2260,10128,"no"
2473250400,"9/24/2014",325000,4,2,1780,10622,1,"no","good",900,880,1976,98058,1550,8900,"no"
2473370750,"2/24/2015",430000,3,1.75,3440,10428,1.5,"no","great",3440,0,1974,98058,2160,8400,"no"
2473400570,"5/16/2014",317000,3,2,1760,11410,1,"no","great",1060,700,1977,98058,1680,9165,"no"
2475901105,"7/15/2014",291000,3,1,1280,10500,1.5,"no","good",1280,0,1941,98024,1410,10500,"no"
2517010230,"2/26/2015",286000,3,2.5,1800,3980,2,"no","neutral",1800,0,2006,98042,2580,4307,"no"
2523400205,"4/21/2015",510000,2,1.5,1860,5100,1,"no","neutral",1060,800,1940,98136,1710,5100,"no"
2524049215,"5/1/2015",1560000,4,3.75,3730,17000,2,"no","good",2820,910,1986,98040,3880,15550,"no"
2568200140,"6/25/2014",739900,5,2.5,2980,5377,2,"no","neutral",2980,0,2006,98052,3150,6593,"no"
2579500110,"7/1/2014",2370000,3,2.25,3530,17450,1,"yes","neutral",1840,1690,1930,98040,3530,17310,"no"
2597490410,"4/2/2015",740000,3,2.5,2350,3798,2,"no","neutral",2350,0,2013,98029,2020,3532,"no"
2600010070,"4/14/2015",998000,3,2.25,3370,11757,2,"no","good",3370,0,1980,98006,2690,10500,"no"
2619920170,"10/1/2014",772500,4,2.5,3230,4290,2,"no","neutral",3230,0,2004,98033,3220,5083,"no"
2621700010,"5/8/2014",569000,4,2.25,2250,41688,2,"no","neutral",2250,0,1980,98053,2350,37920,"no"
2623029003,"12/16/2014",635000,3,1.75,1940,167125,1,"yes","good",1480,460,1955,98070,1910,127195,"no"
2623039018,"10/27/2014",685000,4,1,1550,15239,1.5,"yes","neutral",1370,180,1930,98166,1790,22047,"no"
2623039019,"5/8/2014",988500,3,2.75,2015,16807,2,"yes","neutral",2015,0,2007,98166,1780,12310,"no"
2623039082,"2/18/2015",770000,3,3.5,2050,21744,2,"yes","good",1750,300,1930,98166,2300,12200,"no"
2624049091,"3/13/2015",2900000,5,2.5,3750,91681,2,"yes","neutral",3750,0,1925,98118,3540,24293,"no"
2658000335,"10/27/2014",275000,3,1.25,1230,4500,1.5,"no","good",1230,0,1913,98118,1310,5000,"no"
2722059075,"8/11/2014",455000,3,2.75,2720,31314,3,"no","neutral",2720,0,1986,98042,2290,15188,"no"
2723069147,"9/2/2014",635000,3,2.25,2680,175982,1,"no","neutral",2680,0,2004,98038,3170,215186,"no"
2724079061,"10/10/2014",610000,3,1.75,1650,221720,1,"no","neutral",1650,0,1992,98024,2520,221284,"no"
2725069164,"8/5/2014",785000,4,2.5,2990,9374,2,"no","neutral",2990,0,2003,98074,2440,8711,"no"
2726049034,"11/10/2014",2e+06,3,3.25,2610,16387,2,"yes","neutral",2610,0,2006,98125,2590,12958,"no"
2726079103,"7/22/2014",475000,3,2.5,2630,185130,2,"no","neutral",2630,0,1991,98014,2630,210394,"no"
2738640040,"4/9/2015",644000,4,2.5,3310,4839,2,"no","neutral",3310,0,2007,98072,3240,5280,"no"
2767602645,"11/10/2014",507000,4,2,1360,2746,1.5,"no","neutral",1360,0,1945,98107,1960,2746,"yes"
2767704756,"10/20/2014",470000,3,3.5,1280,1257,2,"no","neutral",1040,240,2000,98107,1280,1249,"no"
2767704777,"9/19/2014",436000,3,2.5,1460,1238,2,"no","neutral",1200,260,2008,98107,1280,1257,"no"
2781230020,"12/9/2014",398500,4,2.5,2820,6666,2,"no","neutral",2820,0,2007,98038,1880,7200,"no"
2781600195,"11/17/2014",285000,1,1,1060,54846,1,"yes","neutral",1060,0,1935,98070,2258,31762,"no"
2804600155,"5/7/2015",1350000,4,1.75,2000,3728,1.5,"no","good",1820,180,1926,98112,1950,3728,"no"
2856100935,"9/23/2014",1080000,5,3.5,3740,5610,2,"no","neutral",2860,880,2014,98117,1520,4590,"no"
2868900020,"4/8/2015",215000,3,1,1010,10125,1,"no","good",1010,0,1972,98042,1230,10125,"no"
2877104196,"12/6/2014",760000,3,2,1780,1750,1,"no","neutral",1400,380,1927,98103,1780,3750,"yes"
2887970040,"4/8/2015",234950,2,2.5,1720,3132,2,"no","neutral",1720,0,1999,98042,1740,4220,"no"
2909300150,"7/14/2014",675000,4,2.5,2900,5505,2,"no","neutral",2900,0,2002,98074,2970,5251,"no"
2919201335,"7/31/2014",912000,4,3.75,1980,4095,2,"no","neutral",1980,0,2009,98103,1480,3840,"no"
2923039243,"11/13/2014",340000,4,1,1200,11834,1,"yes","neutral",1200,0,1972,98070,1670,47462,"no"
2923500230,"12/16/2014",2600000,4,4.5,5270,12195,2,"yes","neutral",3400,1870,1979,98027,3390,9905,"no"
2946000285,"3/2/2015",2e+05,3,2,1170,10051,1,"no","good",1170,0,1957,98198,1440,9800,"no"
2954400520,"4/30/2015",1240000,4,3.25,5180,49936,2,"no","good",5180,0,1991,98053,4240,35363,"no"
3022039071,"5/30/2014",8e+05,2,2.25,1730,31491,2,"yes","good",1730,0,1947,98070,1400,12410,"no"
3024059014,"3/25/2015",1900000,4,2.25,3020,11489,1.5,"yes","great",2110,910,1916,98040,3890,11489,"no"
3026059361,"4/17/2015",479000,2,2.5,1741,1439,2,"no","neutral",1446,295,2007,98034,2090,10454,"no"
3034200933,"6/19/2014",399888,4,2.25,1820,8255,1.5,"no","good",1320,500,1930,98133,1550,7628,"no"
3102700160,"9/25/2014",344900,4,1.75,1820,7700,1,"no","good",1100,720,1955,98177,1700,8500,"no"
3121500340,"7/12/2014",690000,4,2.5,2900,23488,2,"no","neutral",2900,0,1992,98053,2900,34589,"no"
3124059023,"2/13/2015",1960000,3,1.75,3330,12566,1,"yes","good",1940,1390,1960,98040,3730,16560,"no"
3126059023,"3/3/2015",3400000,4,3.5,4730,47870,1,"yes","neutral",2940,1790,1954,98033,3250,49346,"no"
3211200140,"7/10/2014",350000,4,2,1720,7210,1,"no","neutral",860,860,1971,98034,1250,7210,"no"
3211240370,"12/1/2014",460000,4,2.25,2690,36114,2,"no","good",2690,0,1986,98092,2570,35091,"no"
3222049044,"6/12/2014",835000,3,3,2790,12523,2,"yes","good",1600,1190,1977,98198,2990,11476,"no"
3222049055,"1/16/2015",650000,3,1.75,2800,19386,1,"yes","neutral",1400,1400,1965,98198,3270,31450,"no"
3222049087,"4/22/2015",570000,1,1,720,7540,1,"yes","good",720,0,1905,98198,1120,9736,"no"
3222049151,"10/30/2014",820000,3,2.5,2990,10711,1,"yes","neutral",1560,1430,1976,98198,2870,11476,"no"
3224079005,"10/9/2014",255000,2,1,920,43560,1,"no","good",920,0,1923,98024,1530,11875,"no"
3225069065,"6/24/2014",3080000,4,5,4550,18641,1,"yes","neutral",2600,1950,2002,98074,4550,19508,"no"
3225069241,"4/22/2015",2e+06,3,2.5,3490,21064,1,"yes","neutral",2290,1200,1968,98074,1780,15244,"no"
3271801090,"4/30/2015",1180000,4,2,2590,7220,2,"no","good",2590,0,1930,98199,2530,6380,"no"
3278600240,"7/22/2014",372500,2,2.5,1400,2958,2,"no","neutral",1400,0,2007,98126,1540,2385,"no"
3278600710,"7/14/2014",2e+05,1,1.5,1010,1157,2,"no","neutral",950,60,2007,98126,1360,1688,"no"
3295700060,"6/2/2014",5e+05,3,2,1720,5525,1,"no","great",960,760,1941,98108,1760,5525,"no"
3298600850,"12/16/2014",235000,3,1.75,1370,14030,1,"no","good",1370,0,1977,98092,2100,15260,"no"
3303860460,"4/15/2015",499000,4,2.5,3100,5700,2,"no","neutral",3100,0,2011,98038,3060,6000,"no"
3304040020,"12/26/2014",375500,4,2.5,2301,6452,2,"no","neutral",2301,0,2010,98001,2650,6054,"no"
3306300630,"9/24/2014",212000,3,1.75,1100,9750,1,"no","good",1100,0,1967,98023,1100,9900,"no"
3320000212,"10/6/2014",397500,3,2.25,1350,980,2,"no","neutral",1050,300,2007,98144,1350,1245,"no"
3325069064,"3/26/2015",1050000,3,1,1860,44431,1,"no","good",1860,0,1947,98074,2000,44431,"no"
3327000140,"6/17/2014",235000,3,1.75,1190,7280,1,"no","good",1190,0,1968,98092,1250,7800,"no"
3330500085,"9/18/2014",366000,2,1,1210,3090,1,"no","neutral",860,350,1926,98118,1210,3348,"no"
3342104046,"7/8/2014",1570000,4,2.25,2890,18226,3,"yes","neutral",2890,0,1984,98056,2870,11151,"no"
3343301910,"10/20/2014",1e+06,5,4.5,2120,8944,2,"yes","great",2120,0,1939,98006,2870,8944,"no"
3343301920,"3/2/2015",1650000,3,2.75,2690,8890,2,"yes","good",2690,0,1975,98006,2940,8890,"no"
3343302110,"3/6/2015",1800000,3,3,2790,13295,2,"yes","good",2370,420,1933,98006,3140,11949,"no"
3421059049,"6/10/2014",475000,2,1.75,1490,224334,1,"no","neutral",1490,0,1983,98092,2350,213879,"no"
